date,taiex_close,taiex_drawdown,asset,asset_source
2019-01-21,9889.4,-0.12118516570085969,14.93253231048584,0050 Yahoo adjusted close
2019-01-22,9894.66,-0.12071773936271846,14.902345657348633,0050 Yahoo adjusted close
2019-01-23,9846.4,-0.12500633158300245,14.83191204071045,0050 Yahoo adjusted close
2019-01-24,9877.12,-0.1222764195853413,14.902345657348633,0050 Yahoo adjusted close
2019-01-25,9969.61,-0.11405735836582065,15.093528747558594,0050 Yahoo adjusted close
2019-01-28,10013.33,-0.11017221017123269,15.123719215393066,0050 Yahoo adjusted close
2019-01-29,9931.59,-0.11743597992021759,14.992904663085938,0050 Yahoo adjusted close
2019-01-30,9932.26,-0.11737644082391452,14.962716102600098,0050 Yahoo adjusted close
2019-02-11,10004.25,-0.11097909822262475,15.123719215393066,0050 Yahoo adjusted close
2019-02-12,10097.74,-0.1026711726802636,15.224343299865723,0050 Yahoo adjusted close
2019-02-13,10090.58,-0.1033074412318018,15.19415283203125,0050 Yahoo adjusted close
2019-02-14,10089.01,-0.10344695821866134,15.143838882446289,0050 Yahoo adjusted close
2019-02-15,10064.78,-0.10560014076108737,15.103592872619629,0050 Yahoo adjusted close
2019-02-18,10145.28,-0.0984465627724247,15.224343299865723,0050 Yahoo adjusted close
2019-02-19,10152.26,-0.09782628979899777,15.19415283203125,0050 Yahoo adjusted close
2019-02-20,10272.46,-0.08714479819356613,15.365209579467773,0050 Yahoo adjusted close
2019-02-21,10319.53,-0.08296195451746224,15.516146659851074,0050 Yahoo adjusted close
2019-02-22,10322.92,-0.08266070446303297,15.48595905303955,0050 Yahoo adjusted close
2019-02-25,10390.93,-0.07661704186664842,15.596644401550293,0050 Yahoo adjusted close
2019-02-26,10391.55,-0.07656194598648736,15.636896133422852,0050 Yahoo adjusted close
2019-02-27,10389.17,-0.07677344307484779,15.62683391571045,0050 Yahoo adjusted close
2019-03-04,10349.88,-0.08026492231925231,15.48595905303955,0050 Yahoo adjusted close
2019-03-05,10305.26,-0.08423004840439663,15.445709228515625,0050 Yahoo adjusted close
2019-03-06,10357.15,-0.07961887869220163,15.48595905303955,0050 Yahoo adjusted close
2019-03-07,10311.68,-0.08365953945176052,15.425590515136719,0050 Yahoo adjusted close
2019-03-08,10241.75,-0.08987382154799883,15.294774055480957,0050 Yahoo adjusted close
2019-03-11,10250.28,-0.08911580887416903,15.324963569641113,0050 Yahoo adjusted close
2019-03-12,10343.33,-0.08084698363385767,15.546337127685547,0050 Yahoo adjusted close
2019-03-13,10373.32,-0.07818194259187028,15.516146659851074,0050 Yahoo adjusted close
2019-03-14,10348.65,-0.08037422543634609,15.506086349487305,0050 Yahoo adjusted close
2019-03-15,10439.24,-0.07232400643022252,15.61677074432373,0050 Yahoo adjusted close
2019-03-18,10512.7,-0.06579603327435701,15.71739673614502,0050 Yahoo adjusted close
2019-03-19,10512.32,-0.06582980171703656,15.777769088745117,0050 Yahoo adjusted close
2019-03-20,10551.56,-0.06234276568877417,15.797893524169922,0050 Yahoo adjusted close
2019-03-21,10609.55,-0.057189523607251824,15.928705215454102,0050 Yahoo adjusted close
2019-03-22,10639.07,-0.05456624879699934,15.968951225280762,0050 Yahoo adjusted close
2019-03-25,10479.48,-0.06874810607911952,15.727458000183105,0050 Yahoo adjusted close
2019-03-26,10559.2,-0.061663842262272395,15.828081130981445,0050 Yahoo adjusted close
2019-03-27,10542.7,-0.06313010358914117,15.797893524169922,0050 Yahoo adjusted close
2019-03-28,10536.26,-0.06370238982823417,15.797893524169922,0050 Yahoo adjusted close
2019-03-29,10641.04,-0.05439118608100335,15.928705215454102,0050 Yahoo adjusted close
2019-04-01,10642.63,-0.05424989180768702,16.069578170776367,0050 Yahoo adjusted close
2019-04-02,10690.3,-0.05001372953787897,16.129953384399414,0050 Yahoo adjusted close
2019-04-03,10704.38,-0.048762519872284305,16.129953384399414,0050 Yahoo adjusted close
2019-04-08,10800.57,-0.04021466065825363,16.2808895111084,0050 Yahoo adjusted close
2019-04-09,10851.6,-0.03567991426370132,16.381511688232422,0050 Yahoo adjusted close
2019-04-10,10868.14,-0.034210098363919084,16.401636123657227,0050 Yahoo adjusted close
2019-04-11,10808.77,-0.039485973210961256,16.331199645996094,0050 Yahoo adjusted close
2019-04-12,10805.3,-0.03979433241121799,16.321136474609375,0050 Yahoo adjusted close
2019-04-15,10875.6,-0.03354717051552858,16.472074508666992,0050 Yahoo adjusted close
2019-04-16,10927.85,-0.02890400964711093,16.522384643554688,0050 Yahoo adjusted close
2019-04-17,10997.26,-0.02273593699874976,16.653194427490234,0050 Yahoo adjusted close
2019-04-18,10962.02,-0.025867515735649937,16.643131256103516,0050 Yahoo adjusted close
2019-04-19,10968.5,-0.02529167492364337,16.663257598876953,0050 Yahoo adjusted close
2019-04-22,10987.71,-0.023584591281876843,16.643131256103516,0050 Yahoo adjusted close
2019-04-23,11025.68,-0.020210412943621803,16.713573455810547,0050 Yahoo adjusted close
2019-04-24,11027.64,-0.020036238870854484,16.743755340576172,0050 Yahoo adjusted close
2019-04-25,11039.86,-0.01895031684574311,16.78400421142578,0050 Yahoo adjusted close
2019-04-26,10952.47,-0.02671617001877713,16.59282112121582,0050 Yahoo adjusted close
2019-04-29,10939.06,-0.02790784058806861,16.663257598876953,0050 Yahoo adjusted close
2019-04-30,10967.73,-0.025360100452230583,16.663257598876953,0050 Yahoo adjusted close
2019-05-02,11004.49,-0.022093447944612765,16.703510284423828,0050 Yahoo adjusted close
2019-05-03,11096.3,-0.013934814464623635,16.854442596435547,0050 Yahoo adjusted close
2019-05-06,10897.12,-0.031634810288000415,16.562633514404297,0050 Yahoo adjusted close
2019-05-07,10987.14,-0.023635243945896,16.73369789123535,0050 Yahoo adjusted close
2019-05-08,10923.71,-0.02927190794367085,16.612951278686523,0050 Yahoo adjusted close
2019-05-09,10733.67,-0.046159683856285105,16.411697387695312,0050 Yahoo adjusted close
2019-05-10,10712.99,-0.04799739805262726,16.401636123657227,0050 Yahoo adjusted close
2019-05-13,10558.29,-0.0617447087960572,16.129953384399414,0050 Yahoo adjusted close
2019-05-14,10519.25,-0.06521397195975165,16.029329299926758,0050 Yahoo adjusted close
2019-05-15,10560.71,-0.06152965713478331,16.049455642700195,0050 Yahoo adjusted close
2019-05-16,10474.61,-0.06918087533135286,15.908580780029297,0050 Yahoo adjusted close
2019-05-17,10384.11,-0.07722309654842086,15.747579574584961,0050 Yahoo adjusted close
2019-05-20,10398.41,-0.07595233673180135,15.737519264221191,0050 Yahoo adjusted close
2019-05-21,10464.5,-0.07007929363527066,15.777769088745117,0050 Yahoo adjusted close
2019-05-22,10457.22,-0.07072622590554978,15.777769088745117,0050 Yahoo adjusted close
2019-05-23,10308.37,-0.08395368036036255,15.48595905303955,0050 Yahoo adjusted close
2019-05-24,10328.28,-0.0821843916926076,15.566458702087402,0050 Yahoo adjusted close
2019-05-27,10334.13,-0.08166453540399066,15.526212692260742,0050 Yahoo adjusted close
2019-05-28,10312.31,-0.08360355492837102,15.516146659851074,0050 Yahoo adjusted close
2019-05-29,10301.78,-0.0845392962478817,15.445709228515625,0050 Yahoo adjusted close
2019-05-30,10382.99,-0.07732262459000228,15.576521873474121,0050 Yahoo adjusted close
2019-05-31,10498.49,-0.06705879530192105,15.787836074829102,0050 Yahoo adjusted close
2019-06-03,10500.07,-0.06691838967183306,15.807958602905273,0050 Yahoo adjusted close
2019-06-04,10429.12,-0.07322331337736854,15.7073335647583,0050 Yahoo adjusted close
2019-06-05,10461.62,-0.07033522288505134,15.757644653320312,0050 Yahoo adjusted close
2019-06-06,10409.2,-0.07499349068835193,15.636896133422852,0050 Yahoo adjusted close
2019-06-10,10566.47,-0.06101779863522183,15.908580780029297,0050 Yahoo adjusted close
2019-06-11,10607.76,-0.05734859074513621,15.979016304016113,0050 Yahoo adjusted close
2019-06-12,10615.66,-0.05664656259469614,16.039392471313477,0050 Yahoo adjusted close
2019-06-13,10561.01,-0.061502997837931006,15.908580780029297,0050 Yahoo adjusted close
2019-06-14,10524.67,-0.06473232732995593,15.878396034240723,0050 Yahoo adjusted close
2019-06-17,10530.54,-0.06421069375488198,15.838144302368164,0050 Yahoo adjusted close
2019-06-18,10566.74,-0.06099380526805487,15.878396034240723,0050 Yahoo adjusted close
2019-06-19,10775.34,-0.042456707523520154,16.250701904296875,0050 Yahoo adjusted close
2019-06-20,10785.01,-0.04159738952165226,16.27082633972168,0050 Yahoo adjusted close
