date,open,high,low,close,source,hwm,hwm_date,drawdown
2000-07-25,7900.39,7900.39,7900.39,7900.39,TWSE FMTQIK,10202.2,2000-02-17,-0.2256189841406756
2000-07-26,7961.54,7961.54,7961.54,7961.54,TWSE FMTQIK,10202.2,2000-02-17,-0.21962517888298605
2000-07-27,7956.28,7956.28,7956.28,7956.28,TWSE FMTQIK,10202.2,2000-02-17,-0.2201407539550294
2000-07-28,8122.11,8122.11,8122.11,8122.11,TWSE FMTQIK,10202.2,2000-02-17,-0.20388641665523133
2000-07-29,8143.93,8143.93,8143.93,8143.93,TWSE FMTQIK,10202.2,2000-02-17,-0.20174766226892238
2000-07-31,8114.92,8114.92,8114.92,8114.92,TWSE FMTQIK,10202.2,2000-02-17,-0.2045911666111231
2000-08-01,7984.65,7984.65,7984.65,7984.65,TWSE FMTQIK,10202.2,2000-02-17,-0.2173599811805298
2000-08-02,7916.85,7916.85,7916.85,7916.85,TWSE FMTQIK,10202.2,2000-02-17,-0.22400560663386326
2000-08-03,7844.93,7844.93,7844.93,7844.93,TWSE FMTQIK,10202.2,2000-02-17,-0.23105506655427266
2000-08-04,7925.2,7925.2,7925.2,7925.2,TWSE FMTQIK,10202.2,2000-02-17,-0.22318715571151326
2000-08-05,7841.43,7841.43,7841.43,7841.43,TWSE FMTQIK,10202.2,2000-02-17,-0.23139812981513797
2000-08-07,7715.99,7715.99,7715.99,7715.99,TWSE FMTQIK,10202.2,2000-02-17,-0.24369351708455045
2000-08-08,7797.78,7797.78,7797.78,7797.78,TWSE FMTQIK,10202.2,2000-02-17,-0.235676618768501
2000-08-09,8048.14,8048.14,8048.14,8048.14,TWSE FMTQIK,10202.2,2000-02-17,-0.21113681362843306
2000-08-10,8024.69,8024.69,8024.69,8024.69,TWSE FMTQIK,10202.2,2000-02-17,-0.21343533747623067
2000-08-11,7974.65,7974.65,7974.65,7974.65,TWSE FMTQIK,10202.2,2000-02-17,-0.21834016192585926
2000-08-14,7848.87,7848.87,7848.87,7848.87,TWSE FMTQIK,10202.2,2000-02-17,-0.23066887534061287
2000-08-15,7845.69,7845.69,7845.69,7845.69,TWSE FMTQIK,10202.2,2000-02-17,-0.23098057281762763
2000-08-16,8003.53,8003.53,8003.53,8003.53,TWSE FMTQIK,10202.2,2000-02-17,-0.21550939993334783
2000-08-17,8143.25,8143.25,8143.25,8143.25,TWSE FMTQIK,10202.2,2000-02-17,-0.20181431455960486
2000-08-18,8176.82,8176.82,8176.82,8176.82,TWSE FMTQIK,10202.2,2000-02-17,-0.19852384779753396
2000-08-19,8209.07,8209.07,8209.07,8209.07,TWSE FMTQIK,10202.2,2000-02-17,-0.19536276489384652
2000-08-21,8257.88,8257.88,8257.88,8257.88,TWSE FMTQIK,10202.2,2000-02-17,-0.1905785026758936
2000-08-22,8118.05,8118.05,8118.05,8118.05,TWSE FMTQIK,10202.2,2000-02-17,-0.20428437003783506
2000-08-24,8098.84,8098.84,8098.84,8098.84,TWSE FMTQIK,10202.2,2000-02-17,-0.2061672972496129
2000-08-25,8026.32,8026.32,8026.32,8026.32,TWSE FMTQIK,10202.2,2000-02-17,-0.213275568014742
2000-08-28,7845.87,7845.87,7845.87,7845.87,TWSE FMTQIK,10202.2,2000-02-17,-0.23096292956421172
2000-08-29,7817.49,7817.49,7817.49,7817.49,TWSE FMTQIK,10202.2,2000-02-17,-0.23374468251945668
2000-08-30,7543.96,7543.96,7543.96,7543.96,TWSE FMTQIK,10202.2,2000-02-17,-0.2605555664464527
2000-08-31,7616.98,7616.98,7616.98,7616.98,TWSE FMTQIK,10202.2,2000-02-17,-0.2533982866440573
2000-09-01,7420.06,7420.06,7420.06,7420.06,TWSE FMTQIK,10202.2,2000-02-17,-0.27270000588108445
2000-09-02,7707.59,7707.59,7707.59,7707.59,TWSE FMTQIK,10202.2,2000-02-17,-0.24451686891062718
2000-09-04,7803.02,7803.02,7803.02,7803.02,TWSE FMTQIK,10202.2,2000-02-17,-0.23516300405794832
2000-09-05,7785.62,7785.62,7785.62,7785.62,TWSE FMTQIK,10202.2,2000-02-17,-0.2368685185548216
2000-09-06,7610.78,7610.78,7610.78,7610.78,TWSE FMTQIK,10202.2,2000-02-17,-0.2540059987061615
2000-09-07,7430.93,7430.93,7430.93,7430.93,TWSE FMTQIK,10202.2,2000-02-17,-0.27163454941091136
2000-09-08,7367.99,7367.99,7367.99,7367.99,TWSE FMTQIK,10202.2,2000-02-17,-0.2778038070220149
2000-09-11,7335.2,7335.2,7335.2,7335.2,TWSE FMTQIK,10202.2,2000-02-17,-0.2810178196859502
2000-09-13,7391.66,7391.66,7391.66,7391.66,TWSE FMTQIK,10202.2,2000-02-17,-0.2754837191978201
2000-09-14,7152.29,7152.29,7152.29,7152.29,TWSE FMTQIK,10202.2,2000-02-17,-0.2989463056987709
2000-09-15,7155.45,7155.45,7155.45,7155.45,TWSE FMTQIK,10202.2,2000-02-17,-0.29863656858324683
2000-09-16,7053.29,7053.29,7053.29,7053.29,TWSE FMTQIK,10202.2,2000-02-17,-0.3086500950775324
2000-09-18,6910.14,6910.14,6910.14,6910.14,TWSE FMTQIK,10202.2,2000-02-17,-0.32268138244692324
2000-09-19,6734.9,6734.9,6734.9,6734.9,TWSE FMTQIK,10202.2,2000-02-17,-0.3398580698280764
2000-09-20,6880.09,6880.09,6880.09,6880.09,TWSE FMTQIK,10202.2,2000-02-17,-0.32562682558663825
2000-09-21,6920.9,6920.9,6920.9,6920.9,TWSE FMTQIK,10202.2,2000-02-17,-0.32162670796494885
2000-09-22,6612.09,6612.09,6612.09,6612.09,TWSE FMTQIK,10202.2,2000-02-17,-0.3518956695614671
2000-09-25,6677.46,6677.46,6677.46,6677.46,TWSE FMTQIK,10202.2,2000-02-17,-0.3454882280292486
2000-09-26,6749.03,6749.03,6749.03,6749.03,TWSE FMTQIK,10202.2,2000-02-17,-0.3384730744349259
