strategy,schedule,starts,avg_final,median_final,avg_excess_vs_all_in,win_rate_vs_all_in,worst_excess_vs_all_in,best_excess_vs_all_in,avg_max_drawdown,never_full_rate,avg_full_days,max_full_days,1y_avg,1y_median,3y_avg,3y_median,5y_avg,5y_median,10y_avg,10y_median
init_60_full_35,0%->60%; -5%->66%; -10%->71%; -15%->77%; -20%->83%; -25%->89%; -30%->94%; -35%->100%,89,4.8730741113444545,3.2755511714709957,-0.019226893314822552,0.15730337078651685,-0.10007810658512362,0.288081127841858,-0.596661638443692,0.9213483146067416,0.5714285714285714,4,-0.004399734300823788,0.08056664761821941,-0.0687896969833836,0.007421395981514811,-0.06846722781303535,-0.12436003917587624,0.03649144740581042,-0.010284843496302543
init_60_full_40,0%->60%; -5%->65%; -10%->70%; -15%->75%; -20%->80%; -25%->85%; -30%->90%; -35%->95%; -40%->100%,89,4.704039972783057,3.1692096872538067,-0.05232324200222918,0.12359550561797752,-0.13313742396258177,0.2198870550269474,-0.577312994198234,0.9550561797752809,0,0,-0.004006949738668757,0.07656145131021752,-0.06369516743692302,0.006728826195313342,-0.06369118574609908,-0.11703147422497284,0.03584380544715941,-0.009795960540962101
init_60_full_50,0%->60%; -5%->64%; -10%->68%; -15%->72%; -20%->76%; -25%->80%; -30%->84%; -35%->88%; -40%->92%; -45%->96%; -50%->100%,89,4.465951453898516,2.9822521293708224,-0.09899868442872385,0.1348314606741573,-0.1794204682910232,0.12441535308607254,-0.5495521752462,0.9662921348314607,0,0,-0.003639467837933992,0.0709541764790147,-0.057092570994118345,0.00575762468924923,-0.0573860941365826,-0.10808687003182693,0.03486220941736897,-0.009325688932108167
init_40_full_20,0%->40%; -5%->55%; -10%->70%; -15%->85%; -20%->100%,89,5.120550407710095,3.3036817139756347,0.007983417141335212,0.5730337078651685,-0.023218734429496624,0.35976863193943664,-0.6357319097669595,0.0,62.59550561797753,412,-0.015951501410971278,0.08087512859034018,-0.0821368872004153,0.004200390905128026,-0.07754330267710279,-0.14603657984780638,0.03633830541107329,-0.014828329938613383
init_40_full_25,0%->40%; -5%->52%; -10%->64%; -15%->76%; -20%->88%; -25%->100%,89,5.227173048370185,3.5976444221220327,0.04537970191161935,0.6404494382022472,-0.03471624816729846,0.6047087269039266,-0.6249449339662316,0.0,208.79775280898878,1103,-0.005995419302663862,0.08087512859033996,-0.07435290719662126,0.006926192809754594,-0.07197211964580541,-0.13531156874362815,0.03955134223668812,-0.011773733642101547
init_40_full_30,0%->40%; -5%->50%; -10%->60%; -15%->70%; -20%->80%; -25%->90%; -30%->100%,89,5.094153202212139,3.597644422122032,0.034882239468704994,0.5617977528089888,-0.08399852512276851,0.5685098373926083,-0.6126592157888614,0.0,941.0112359550562,2393,0.00151554282286128,0.07999956112658202,-0.07271893687519011,0.010951537874879014,-0.07296828775223121,-0.13348334770785963,0.03816548938435696,-0.01094008697132376
init_40_full_35,0%->40%; -5%->49%; -10%->57%; -15%->66%; -20%->74%; -25%->83%; -30%->91%; -35%->100%,89,4.765110435215603,3.4817401640551786,-0.028840339972233762,0.15730337078651685,-0.15011715987768526,0.43212169176278636,-0.5760724605326832,0.9213483146067416,0.5714285714285714,4,0.002769111523845043,0.07408293132167376,-0.062087948311088756,0.009575127201990385,-0.06395965498979937,-0.1190835175225834,0.03673805269843606,-0.0099586802214775
init_40_full_40,0%->40%; -5%->48%; -10%->55%; -15%->62%; -20%->70%; -25%->78%; -30%->85%; -35%->92%; -40%->100%,89,4.511559227373506,3.2641622791900264,-0.07848486300334379,0.1348314606741573,-0.19970613594387254,0.32983058254042064,-0.5465269613526702,0.9550561797752809,0,0,0.003358288367077476,0.06964545896799246,-0.055003081890695686,0.008540350909868488,-0.05727392177137859,-0.10843129777364569,0.03568283736207627,-0.009228329132804802
init_40_full_50,0%->40%; -5%->46%; -10%->52%; -15%->58%; -20%->64%; -25%->70%; -30%->76%; -35%->82%; -40%->88%; -45%->94%; -50%->100%,89,4.154426449046693,2.9595532403788107,-0.14849802664308584,0.1348314606741573,-0.26913070243653525,0.18662302962910826,-0.503704537826599,0.9662921348314607,0,0,0.003909511218179814,0.06343299767283872,-0.0460870439206276,0.007088087012935729,-0.048727317915259624,-0.09432388089224775,0.03400865517286658,-0.008213909379796824
init_20_full_20,0%->20%; -5%->40%; -10%->60%; -15%->80%; -20%->100%,89,5.13106672241274,3.3036817139756347,0.010644556188446888,0.47191011235955055,-0.03095831257266224,0.4796915092525822,-0.6351778005472505,0.0,62.59550561797753,412,-0.015022859897907855,0.0808751285903404,-0.08150989681485413,0.004571276026069215,-0.07713027219357396,-0.14603657984780638,0.036572526144525754,-0.014828329938613383
init_20_full_25,0%->20%; -5%->36%; -10%->52%; -15%->68%; -20%->84%; -25%->100%,89,5.273230243292861,3.597644422122032,0.060506269215492486,0.6067415730337079,-0.04628833088973139,0.8062783025385685,-0.620951924966263,0.0,208.79775280898878,1103,-0.0017480837534979078,0.0834896256189297,-0.07143473729401785,0.008199740672361955,-0.069953598297586,-0.13531156874362804,0.040695604711445746,-0.011703713956998651
init_20_full_30,0%->20%; -5%->33%; -10%->47%; -15%->60%; -20%->73%; -25%->87%; -30%->100%,89,5.095870448415466,3.5976444221220327,0.046509652624940084,0.6404494382022472,-0.11199803349702475,0.7580131165234776,-0.6044654468644921,0.0,941.0112359550562,2393,0.008266532413868958,0.07754257767810468,-0.06952523242685177,0.013546343078989942,-0.07141801020810122,-0.13348334770785963,0.038825415813203236,-0.010685135246529143
init_20_full_35,0%->20%; -5%->31%; -10%->43%; -15%->54%; -20%->66%; -25%->77%; -30%->89%; -35%->100%,89,4.657146759086752,3.6057223718640232,-0.0384537866296449,0.1797752808988764,-0.200156213170247,0.5761622556837158,-0.5553470704267724,0.9213483146067416,0.5714285714285714,4,0.009937957348513856,0.067190213706525,-0.05589836931119967,0.011719708291773046,-0.05983946892811943,-0.11393046977656829,0.036852304332368156,-0.009446775965663567
init_20_full_40,0%->20%; -5%->30%; -10%->40%; -15%->50%; -20%->60%; -25%->70%; -30%->80%; -35%->90%; -40%->100%,89,4.319078481963955,3.3449481859340704,-0.10464648400445839,0.12359550561797752,-0.26627484792516365,0.43977411005389433,-0.515330308251908,0.9550561797752809,0,0,0.010723526472823819,0.06070798488046991,-0.047098747677002895,0.010345391232077228,-0.051501645003705174,-0.10015069555113987,0.035319476821727716,-0.008527066386518123
init_20_full_50,0%->20%; -5%->28%; -10%->36%; -15%->44%; -20%->52%; -25%->60%; -30%->68%; -35%->76%; -40%->84%; -45%->92%; -50%->100%,89,3.8429014441948723,2.979864325632138,-0.1979973688574477,0.1348314606741573,-0.35884093658204685,0.2488307061721451,-0.45666603356640323,0.9662921348314607,0,0,0.011458490274293484,0.05242470315359826,-0.036318844007136905,0.008415043251352339,-0.041169552214312684,-0.08217365473689753,0.03277769846441163,-0.007252236098732268
init_0_full_20,0%->0%; -5%->25%; -10%->50%; -15%->75%; -20%->100%,89,5.141583037115385,3.3036817139756347,0.013305695235558614,0.449438202247191,-0.038697890715827854,0.5996143865657277,-0.6346435941580579,0.0,62.59550561797753,412,-0.014094218384844598,0.08087512859034018,-0.08089958218768335,0.004941887489382513,-0.07673044508457869,-0.14603657984780638,0.03679829776853567,-0.014825619040195082
init_0_full_25,0%->0%; -5%->20%; -10%->40%; -15%->60%; -20%->80%; -25%->100%,89,5.319287438215537,3.597644422122032,0.07563283651936559,0.5842696629213483,-0.057860413612163986,1.0078478781732114,-0.6169674483834221,0.0,208.79775280898878,1103,0.0024992517956679006,0.08283281726871539,-0.06865245864877224,0.009470079172001489,-0.06804499668038341,-0.13531156874362804,0.041770517300869295,-0.011633738890793555
init_0_full_30,0%->0%; -5%->17%; -10%->33%; -15%->50%; -20%->67%; -25%->83%; -30%->100%,89,5.097587694618793,3.5976444221220327,0.05813706578117497,0.5842696629213483,-0.139997541871281,0.9475163956543464,-0.5961971453765068,0.0,941.0112359550562,2393,0.015017522004876358,0.08648134042073874,-0.06656353290238333,0.014559433869630656,-0.07003018359171333,-0.13336265826515936,0.039403831617362696,-0.010362788756468344
init_0_full_35,0%->0%; -5%->14%; -10%->29%; -15%->43%; -20%->57%; -25%->71%; -30%->86%; -35%->100%,89,4.549183082957899,3.6077418592995203,-0.0480672332870562,0.14606741573033707,-0.25019526646280876,0.7202028196046446,-0.5343705779021579,0.9213483146067416,0.5714285714285714,4,0.0171068031731828,0.07412686321777628,-0.05015159546838978,0.012505062777453446,-0.0560659828105911,-0.10889457910994382,0.036837784744531296,-0.008821495759034015
init_0_full_40,0%->0%; -5%->12%; -10%->25%; -15%->38%; -20%->50%; -25%->62%; -30%->75%; -35%->88%; -40%->100%,89,4.126597736554404,3.2817741268870795,-0.130808105005573,0.12359550561797752,-0.3328435599064544,0.5497176375673682,-0.4835184115781623,0.9550561797752809,0,0,0.018088764578570126,0.06486100531555383,-0.03986714263569039,0.010958795897721307,-0.04630337293887302,-0.09216412959643294,0.03474457549545468,-0.007679520453757416
init_0_full_50,0%->0%; -5%->10%; -10%->20%; -15%->30%; -20%->40%; -25%->50%; -30%->60%; -35%->70%; -40%->80%; -45%->90%; -50%->100%,89,3.53137643934305,2.825419301509664,-0.24749671107180984,0.1348314606741573,-0.44855117072755857,0.3110383827151806,-0.40801596690778086,0.9662921348314607,0,0,0.01900746933040723,0.051888804252443244,-0.027583498866090843,0.008786043210370131,-0.03457689004256027,-0.07063469595055316,0.031115122559306603,-0.006100365879375569
