date,open,high,low,close,source
2000-06-28,8365.63,8365.63,8365.63,8365.63,TWSE FMTQIK
2000-06-29,8120.89,8120.89,8120.89,8120.89,TWSE FMTQIK
2000-06-30,8265.09,8265.09,8265.09,8265.09,TWSE FMTQIK
2000-07-03,8297.77,8297.77,8297.77,8297.77,TWSE FMTQIK
2000-07-04,8052.54,8052.54,8052.54,8052.54,TWSE FMTQIK
2000-07-05,8421.74,8421.74,8421.74,8421.74,TWSE FMTQIK
2000-07-06,8289.39,8289.39,8289.39,8289.39,TWSE FMTQIK
2000-07-07,8173.08,8173.08,8173.08,8173.08,TWSE FMTQIK
2000-07-10,8154.67,8154.67,8154.67,8154.67,TWSE FMTQIK
2000-07-11,8158.63,8158.63,8158.63,8158.63,TWSE FMTQIK
2000-07-12,8059.75,8059.75,8059.75,8059.75,TWSE FMTQIK
2000-07-13,8267.66,8267.66,8267.66,8267.66,TWSE FMTQIK
2000-07-14,8497.13,8497.13,8497.13,8497.13,TWSE FMTQIK
2000-07-15,8518.13,8518.13,8518.13,8518.13,TWSE FMTQIK
2000-07-17,8585.52,8585.52,8585.52,8585.52,TWSE FMTQIK
2000-07-18,8368.78,8368.78,8368.78,8368.78,TWSE FMTQIK
2000-07-19,8411.88,8411.88,8411.88,8411.88,TWSE FMTQIK
2000-07-20,8219.53,8219.53,8219.53,8219.53,TWSE FMTQIK
2000-07-21,8167.37,8167.37,8167.37,8167.37,TWSE FMTQIK
2000-07-24,8064.2,8064.2,8064.2,8064.2,TWSE FMTQIK
2000-07-25,7900.39,7900.39,7900.39,7900.39,TWSE FMTQIK
2000-07-26,7961.54,7961.54,7961.54,7961.54,TWSE FMTQIK
2000-07-27,7956.28,7956.28,7956.28,7956.28,TWSE FMTQIK
2000-07-28,8122.11,8122.11,8122.11,8122.11,TWSE FMTQIK
2000-07-29,8143.93,8143.93,8143.93,8143.93,TWSE FMTQIK
2000-07-31,8114.92,8114.92,8114.92,8114.92,TWSE FMTQIK
2000-08-01,7984.65,7984.65,7984.65,7984.65,TWSE FMTQIK
2000-08-02,7916.85,7916.85,7916.85,7916.85,TWSE FMTQIK
2000-08-03,7844.93,7844.93,7844.93,7844.93,TWSE FMTQIK
2000-08-04,7925.2,7925.2,7925.2,7925.2,TWSE FMTQIK
2000-08-05,7841.43,7841.43,7841.43,7841.43,TWSE FMTQIK
2000-08-07,7715.99,7715.99,7715.99,7715.99,TWSE FMTQIK
2000-08-08,7797.78,7797.78,7797.78,7797.78,TWSE FMTQIK
2000-08-09,8048.14,8048.14,8048.14,8048.14,TWSE FMTQIK
2000-08-10,8024.69,8024.69,8024.69,8024.69,TWSE FMTQIK
2000-08-11,7974.65,7974.65,7974.65,7974.65,TWSE FMTQIK
2000-08-14,7848.87,7848.87,7848.87,7848.87,TWSE FMTQIK
2000-08-15,7845.69,7845.69,7845.69,7845.69,TWSE FMTQIK
2000-08-16,8003.53,8003.53,8003.53,8003.53,TWSE FMTQIK
2000-08-17,8143.25,8143.25,8143.25,8143.25,TWSE FMTQIK
2000-08-18,8176.82,8176.82,8176.82,8176.82,TWSE FMTQIK
2000-08-19,8209.07,8209.07,8209.07,8209.07,TWSE FMTQIK
2000-08-21,8257.88,8257.88,8257.88,8257.88,TWSE FMTQIK
2000-08-22,8118.05,8118.05,8118.05,8118.05,TWSE FMTQIK
2000-08-24,8098.84,8098.84,8098.84,8098.84,TWSE FMTQIK
2000-08-25,8026.32,8026.32,8026.32,8026.32,TWSE FMTQIK
2000-08-28,7845.87,7845.87,7845.87,7845.87,TWSE FMTQIK
2000-08-29,7817.49,7817.49,7817.49,7817.49,TWSE FMTQIK
2000-08-30,7543.96,7543.96,7543.96,7543.96,TWSE FMTQIK
2000-08-31,7616.98,7616.98,7616.98,7616.98,TWSE FMTQIK
2000-09-01,7420.06,7420.06,7420.06,7420.06,TWSE FMTQIK
2000-09-02,7707.59,7707.59,7707.59,7707.59,TWSE FMTQIK
2000-09-04,7803.02,7803.02,7803.02,7803.02,TWSE FMTQIK
2000-09-05,7785.62,7785.62,7785.62,7785.62,TWSE FMTQIK
2000-09-06,7610.78,7610.78,7610.78,7610.78,TWSE FMTQIK
2000-09-07,7430.93,7430.93,7430.93,7430.93,TWSE FMTQIK
2000-09-08,7367.99,7367.99,7367.99,7367.99,TWSE FMTQIK
2000-09-11,7335.2,7335.2,7335.2,7335.2,TWSE FMTQIK
2000-09-13,7391.66,7391.66,7391.66,7391.66,TWSE FMTQIK
2000-09-14,7152.29,7152.29,7152.29,7152.29,TWSE FMTQIK
2000-09-15,7155.45,7155.45,7155.45,7155.45,TWSE FMTQIK
2000-09-16,7053.29,7053.29,7053.29,7053.29,TWSE FMTQIK
2000-09-18,6910.14,6910.14,6910.14,6910.14,TWSE FMTQIK
2000-09-19,6734.9,6734.9,6734.9,6734.9,TWSE FMTQIK
2000-09-20,6880.09,6880.09,6880.09,6880.09,TWSE FMTQIK
2000-09-21,6920.9,6920.9,6920.9,6920.9,TWSE FMTQIK
2000-09-22,6612.09,6612.09,6612.09,6612.09,TWSE FMTQIK
2000-09-25,6677.46,6677.46,6677.46,6677.46,TWSE FMTQIK
2000-09-26,6749.03,6749.03,6749.03,6749.03,TWSE FMTQIK
2000-09-27,6717.04,6717.04,6717.04,6717.04,TWSE FMTQIK
2000-09-28,6564.87,6564.87,6564.87,6564.87,TWSE FMTQIK
2000-09-29,6432.36,6432.36,6432.36,6432.36,TWSE FMTQIK
2000-09-30,6185.14,6185.14,6185.14,6185.14,TWSE FMTQIK
2000-10-02,6024.07,6024.07,6024.07,6024.07,TWSE FMTQIK
2000-10-03,6143.44,6143.44,6143.44,6143.44,TWSE FMTQIK
2000-10-04,5997.92,5997.92,5997.92,5997.92,TWSE FMTQIK
2000-10-05,6029.65,6029.65,6029.65,6029.65,TWSE FMTQIK
2000-10-06,6353.67,6353.67,6353.67,6353.67,TWSE FMTQIK
2000-10-07,6352.03,6352.03,6352.03,6352.03,TWSE FMTQIK
2000-10-09,6209.42,6209.42,6209.42,6209.42,TWSE FMTQIK
2000-10-11,6040.55,6040.55,6040.55,6040.55,TWSE FMTQIK
2000-10-12,5805.01,5805.01,5805.01,5805.01,TWSE FMTQIK
2000-10-13,5876.11,5876.11,5876.11,5876.11,TWSE FMTQIK
2000-10-16,5630.95,5630.95,5630.95,5630.95,TWSE FMTQIK
2000-10-17,5702.36,5702.36,5702.36,5702.36,TWSE FMTQIK
2000-10-18,5432.23,5432.23,5432.23,5432.23,TWSE FMTQIK
2000-10-19,5081.28,5081.28,5081.28,5081.28,TWSE FMTQIK
2000-10-20,5404.78,5404.78,5404.78,5404.78,TWSE FMTQIK
2000-10-21,5599.74,5599.74,5599.74,5599.74,TWSE FMTQIK
2000-10-23,5680.95,5680.95,5680.95,5680.95,TWSE FMTQIK
2000-10-24,5918.63,5918.63,5918.63,5918.63,TWSE FMTQIK
2000-10-25,6023.78,6023.78,6023.78,6023.78,TWSE FMTQIK
2000-10-26,5941.85,5941.85,5941.85,5941.85,TWSE FMTQIK
2000-10-27,5805.17,5805.17,5805.17,5805.17,TWSE FMTQIK
2000-10-30,5659.08,5659.08,5659.08,5659.08,TWSE FMTQIK
2000-10-31,5544.18,5544.18,5544.18,5544.18,TWSE FMTQIK
2000-11-01,5425.02,5425.02,5425.02,5425.02,TWSE FMTQIK
2000-11-02,5626.08,5626.08,5626.08,5626.08,TWSE FMTQIK
2000-11-03,5796.08,5796.08,5796.08,5796.08,TWSE FMTQIK
2000-11-04,5677.3,5677.3,5677.3,5677.3,TWSE FMTQIK
2000-11-06,5657.48,5657.48,5657.48,5657.48,TWSE FMTQIK
2000-11-07,5877.77,5877.77,5877.77,5877.77,TWSE FMTQIK
2000-11-08,6067.94,6067.94,6067.94,6067.94,TWSE FMTQIK
2000-11-09,6089.55,6089.55,6089.55,6089.55,TWSE FMTQIK
2000-11-10,6088.74,6088.74,6088.74,6088.74,TWSE FMTQIK
2000-11-13,5793.52,5793.52,5793.52,5793.52,TWSE FMTQIK
2000-11-14,5772.51,5772.51,5772.51,5772.51,TWSE FMTQIK
2000-11-15,5737.02,5737.02,5737.02,5737.02,TWSE FMTQIK
2000-11-16,5454.13,5454.13,5454.13,5454.13,TWSE FMTQIK
2000-11-17,5351.36,5351.36,5351.36,5351.36,TWSE FMTQIK
2000-11-18,5167.35,5167.35,5167.35,5167.35,TWSE FMTQIK
2000-11-20,4845.21,4845.21,4845.21,4845.21,TWSE FMTQIK
2000-11-21,5103.0,5103.0,5103.0,5103.0,TWSE FMTQIK
2000-11-22,5130.61,5130.61,5130.61,5130.61,TWSE FMTQIK
2000-11-23,5146.92,5146.92,5146.92,5146.92,TWSE FMTQIK
2000-11-24,5419.99,5419.99,5419.99,5419.99,TWSE FMTQIK
2000-11-27,5433.78,5433.78,5433.78,5433.78,TWSE FMTQIK
2000-11-28,5362.26,5362.26,5362.26,5362.26,TWSE FMTQIK
2000-11-29,5319.46,5319.46,5319.46,5319.46,TWSE FMTQIK
2000-11-30,5256.93,5256.93,5256.93,5256.93,TWSE FMTQIK
2000-12-01,5342.06,5342.06,5342.06,5342.06,TWSE FMTQIK
2000-12-02,5277.35,5277.35,5277.35,5277.35,TWSE FMTQIK
2000-12-04,5174.02,5174.02,5174.02,5174.02,TWSE FMTQIK
2000-12-05,5199.2,5199.2,5199.2,5199.2,TWSE FMTQIK
2000-12-06,5170.62,5170.62,5170.62,5170.62,TWSE FMTQIK
2000-12-07,5212.73,5212.73,5212.73,5212.73,TWSE FMTQIK
2000-12-08,5252.83,5252.83,5252.83,5252.83,TWSE FMTQIK
2000-12-11,5284.41,5284.41,5284.41,5284.41,TWSE FMTQIK
2000-12-12,5380.09,5380.09,5380.09,5380.09,TWSE FMTQIK
2000-12-13,5384.36,5384.36,5384.36,5384.36,TWSE FMTQIK
2000-12-14,5320.16,5320.16,5320.16,5320.16,TWSE FMTQIK
2000-12-15,5224.74,5224.74,5224.74,5224.74,TWSE FMTQIK
2000-12-16,5134.1,5134.1,5134.1,5134.1,TWSE FMTQIK
2000-12-18,5055.2,5055.2,5055.2,5055.2,TWSE FMTQIK
2000-12-19,5040.25,5040.25,5040.25,5040.25,TWSE FMTQIK
2000-12-20,4947.89,4947.89,4947.89,4947.89,TWSE FMTQIK
2000-12-21,4817.22,4817.22,4817.22,4817.22,TWSE FMTQIK
2000-12-22,4811.22,4811.22,4811.22,4811.22,TWSE FMTQIK
2000-12-26,4721.36,4721.36,4721.36,4721.36,TWSE FMTQIK
2000-12-27,4614.63,4614.63,4614.63,4614.63,TWSE FMTQIK
2000-12-28,4797.14,4797.14,4797.14,4797.14,TWSE FMTQIK
2000-12-29,4743.94,4743.94,4743.94,4743.94,TWSE FMTQIK
2000-12-30,4739.09,4739.09,4739.09,4739.09,TWSE FMTQIK
2001-01-02,4935.28,4935.28,4935.28,4935.28,TWSE FMTQIK
2001-01-03,4894.79,4894.79,4894.79,4894.79,TWSE FMTQIK
2001-01-04,5136.13,5136.13,5136.13,5136.13,TWSE FMTQIK
2001-01-05,5295.53,5295.53,5295.53,5295.53,TWSE FMTQIK
2001-01-08,5188.51,5188.51,5188.51,5188.51,TWSE FMTQIK
2001-01-09,5376.12,5376.12,5376.12,5376.12,TWSE FMTQIK
2001-01-10,5436.78,5436.78,5436.78,5436.78,TWSE FMTQIK
2001-01-11,5369.24,5369.24,5369.24,5369.24,TWSE FMTQIK
2001-01-12,5339.4,5339.4,5339.4,5339.4,TWSE FMTQIK
2001-01-15,5379.66,5379.66,5379.66,5379.66,TWSE FMTQIK
2001-01-16,5662.94,5662.94,5662.94,5662.94,TWSE FMTQIK
2001-01-17,5769.95,5769.95,5769.95,5769.95,TWSE FMTQIK
2001-01-18,5847.91,5847.91,5847.91,5847.91,TWSE FMTQIK
2001-01-29,5680.06,5680.06,5680.06,5680.06,TWSE FMTQIK
2001-01-30,5792.5,5792.5,5792.5,5792.5,TWSE FMTQIK
2001-01-31,5936.2,5936.2,5936.2,5936.2,TWSE FMTQIK
2001-02-01,5897.93,5897.93,5897.93,5897.93,TWSE FMTQIK
2001-02-02,6049.26,6049.26,6049.26,6049.26,TWSE FMTQIK
2001-02-05,5932.42,5932.42,5932.42,5932.42,TWSE FMTQIK
2001-02-06,5849.06,5849.06,5849.06,5849.06,TWSE FMTQIK
2001-02-07,5693.58,5693.58,5693.58,5693.58,TWSE FMTQIK
2001-02-08,5758.6,5758.6,5758.6,5758.6,TWSE FMTQIK
2001-02-09,5809.84,5809.84,5809.84,5809.84,TWSE FMTQIK
2001-02-12,5847.07,5847.07,5847.07,5847.07,TWSE FMTQIK
2001-02-13,6027.49,6027.49,6027.49,6027.49,TWSE FMTQIK
2001-02-14,5887.68,5887.68,5887.68,5887.68,TWSE FMTQIK
2001-02-15,6104.24,6104.24,6104.24,6104.24,TWSE FMTQIK
2001-02-16,6045.67,6045.67,6045.67,6045.67,TWSE FMTQIK
2001-02-19,5937.3,5937.3,5937.3,5937.3,TWSE FMTQIK
2001-02-20,5971.29,5971.29,5971.29,5971.29,TWSE FMTQIK
2001-02-21,5949.96,5949.96,5949.96,5949.96,TWSE FMTQIK
2001-02-22,5759.04,5759.04,5759.04,5759.04,TWSE FMTQIK
2001-02-23,5726.93,5726.93,5726.93,5726.93,TWSE FMTQIK
2001-02-26,5716.02,5716.02,5716.02,5716.02,TWSE FMTQIK
2001-02-27,5674.69,5674.69,5674.69,5674.69,TWSE FMTQIK
2001-03-01,5499.86,5499.86,5499.86,5499.86,TWSE FMTQIK
2001-03-02,5499.54,5499.54,5499.54,5499.54,TWSE FMTQIK
2001-03-05,5609.74,5609.74,5609.74,5609.74,TWSE FMTQIK
2001-03-06,5635.06,5635.06,5635.06,5635.06,TWSE FMTQIK
2001-03-07,5777.13,5777.13,5777.13,5777.13,TWSE FMTQIK
2001-03-08,5711.02,5711.02,5711.02,5711.02,TWSE FMTQIK
2001-03-09,5680.43,5680.43,5680.43,5680.43,TWSE FMTQIK
2001-03-12,5582.67,5582.67,5582.67,5582.67,TWSE FMTQIK
2001-03-13,5610.4,5610.4,5610.4,5610.4,TWSE FMTQIK
2001-03-14,5658.21,5658.21,5658.21,5658.21,TWSE FMTQIK
2001-03-15,5742.74,5742.74,5742.74,5742.74,TWSE FMTQIK
2001-03-16,5783.93,5783.93,5783.93,5783.93,TWSE FMTQIK
2001-03-19,5641.89,5641.89,5641.89,5641.89,TWSE FMTQIK
2001-03-20,5642.7,5642.7,5642.7,5642.7,TWSE FMTQIK
2001-03-21,5623.42,5623.42,5623.42,5623.42,TWSE FMTQIK
2001-03-22,5730.95,5730.95,5730.95,5730.95,TWSE FMTQIK
2001-03-23,5800.55,5800.55,5800.55,5800.55,TWSE FMTQIK
2001-03-26,5896.32,5896.32,5896.32,5896.32,TWSE FMTQIK
2001-03-27,5884.33,5884.33,5884.33,5884.33,TWSE FMTQIK
2001-03-28,5819.39,5819.39,5819.39,5819.39,TWSE FMTQIK
2001-03-29,5833.88,5833.88,5833.88,5833.88,TWSE FMTQIK
2001-03-30,5797.92,5797.92,5797.92,5797.92,TWSE FMTQIK
2001-04-02,5607.73,5607.73,5607.73,5607.73,TWSE FMTQIK
2001-04-03,5446.82,5446.82,5446.82,5446.82,TWSE FMTQIK
2001-04-04,5405.85,5405.85,5405.85,5405.85,TWSE FMTQIK
2001-04-06,5515.13,5515.13,5515.13,5515.13,TWSE FMTQIK
2001-04-09,5401.83,5401.83,5401.83,5401.83,TWSE FMTQIK
2001-04-10,5353.5,5353.5,5353.5,5353.5,TWSE FMTQIK
2001-04-11,5467.75,5467.75,5467.75,5467.75,TWSE FMTQIK
2001-04-12,5533.22,5533.22,5533.22,5533.22,TWSE FMTQIK
2001-04-13,5495.47,5495.47,5495.47,5495.47,TWSE FMTQIK
2001-04-16,5432.28,5432.28,5432.28,5432.28,TWSE FMTQIK
2001-04-17,5431.95,5431.95,5431.95,5431.95,TWSE FMTQIK
2001-04-18,5508.61,5508.61,5508.61,5508.61,TWSE FMTQIK
2001-04-19,5608.5,5608.5,5608.5,5608.5,TWSE FMTQIK
